,Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
494,Casas,69.0,160000.0,3,2,1,Verde Lar
495,Casas,220.0,1150000.0,4,5,4,Morros
496,Casas,93.0,259000.0,3,3,4,Tabajaras
497,Casas,430.0,2500000.0,4,5,4,Centro
498,Apartamentos,205.0,1380000.0,4,4,3,Fátima
499,Casas,390.0,900000.0,4,3,2,Ininga
500,Casas,181.0,400000.0,4,2,4,Centro
501,Casas,328.0,1200000.0,3,5,5,Ininga
502,Apartamentos,104.0,760000.0,3,3,1,Jóquei
503,Casas,105.0,315000.0,3,2,5,Vale Quem Tem
504,Casas,100.0,444900.0,3,3,2,Morros
505,Apartamentos,50.0,160000.0,2,1,1,Cidade Jardim
506,Casas,68.0,160000.0,2,1,1,Esplanada
507,Apartamentos,64.0,220000.0,2,2,1,Uruguai
508,Apartamentos,86.0,596000.0,3,3,2,Ininga
509,Apartamentos,46.0,115000.0,2,1,1,Vale do Gavião
510,Apartamentos,97.0,590000.0,3,3,2,Horto
511,Apartamentos,65.0,300000.0,3,2,1,Uruguai
512,Apartamentos,107.0,960000.0,3,3,2,Jóquei
514,Casas,230.0,485000.0,3,2,2,Gurupi
515,Casas,66.0,270000.0,3,3,1,Pedra Mole
516,Casas,70.0,120000.0,3,2,1,Pedra Miúda
517,Casas,400.0,1250000.0,4,4,2,Núcleo Urbano Fazenda Real
518,Apartamentos,55.0,155000.0,2,1,1,Renascença
519,Apartamentos,48.0,150000.0,2,1,1,Cidade Jardim
520,Apartamentos,77.0,350000.0,3,3,1,Campestre
522,Apartamentos,78.0,492700.0,3,2,2,São Cristóvão
523,Apartamentos,68.0,354378.0,3,2,2,Três Andares
524,Casas,136.0,350000.0,3,2,1,Lourival Parente
525,Casas,80.0,290000.0,2,2,2,Piçarreira
526,Apartamentos,73.0,150000.0,1,1,1,Cabral
527,Apartamentos,130.0,680000.0,2,3,2,Fátima
528,Casas,160.0,385000.0,3,2,4,Buenos Aires
529,Apartamentos,59.0,561202.0,1,1,1,Ininga
530,Casas,130.0,330000.0,3,2,2,Porto do Centro
531,Casas,170.0,550000.0,4,2,4,Santa Isabel
532,Apartamentos,58.0,125000.0,2,1,1,Cidade Nova
533,Casas,57.0,193900.0,2,1,2,Verde Lar
534,Apartamentos,78.0,498100.0,3,1,2,Monte Castelo
535,Apartamentos,190.0,1800000.0,3,4,3,Jóquei
536,Apartamentos,60.0,300000.0,2,2,2,Morros
537,Apartamentos,43.0,160000.0,2,1,1,Uruguai
538,Apartamentos,60.0,200000.0,3,2,1,Vale Quem Tem
539,Apartamentos,99.0,250000.0,3,2,2,Campestre
540,Casas,175.0,890000.0,4,5,4,Gurupi
541,Casas,250.0,800000.0,3,4,5,Ininga
542,Apartamentos,67.0,260000.0,3,2,1,Planalto
543,Casas,200.0,480000.0,3,3,4,Morada do Sol
544,Apartamentos,77.0,240000.0,3,3,3,Santa Isabel
545,Casas,90.0,330000.0,2,1,2,Vale Quem Tem
546,Apartamentos,76.0,650000.0,3,3,2,Horto
547,Casas,250.0,500000.0,3,2,3,Itararé
548,Apartamentos,74.0,355000.0,3,2,1,Santa Isabel
549,Apartamentos,32.0,288000.0,1,1,1,Horto
550,Casas,223.0,799000.0,4,5,4,Planalto
551,Apartamentos,64.0,200000.0,3,2,1,Gurupi
552,Apartamentos,59.0,215000.0,2,2,1,Uruguai
553,Casas,240.0,1950000.0,3,2,2,Tabajaras
555,Casas,186.0,995000.0,4,4,4,Ininga
556,Apartamentos,54.0,220000.0,2,2,1,São Cristóvão
557,Casas,85.0,120000.0,2,2,3,Aroeiras
558,Apartamentos,186.0,1191000.0,4,5,0,Noivos
559,Casas,140.0,350000.0,3,3,1,Parque Piauí
561,Apartamentos,74.0,440000.0,3,3,2,Santa Isabel
562,Casas,343.0,2100000.0,4,4,2,Tabajaras
565,Apartamentos,46.0,130000.0,2,1,1,Vale do Gavião
566,Casas,400.0,900000.0,4,5,4,Centro
567,Apartamentos,52.0,288000.0,2,2,1,São Cristóvão
568,Casas,100.0,380000.0,3,2,2,Piçarreira
569,Casas,203.0,255000.0,3,1,2,Gurupi
570,Apartamentos,200.0,1550000.0,3,5,5,Jóquei
571,Casas,10.0,220000.0,2,3,2,Bela Vista
572,Apartamentos,187.0,1320000.0,4,4,3,Noivos
573,Casas,218.0,800000.0,3,3,3,Horto
574,Casas,77.0,311000.0,3,2,2,Tabajaras
575,Apartamentos,68.0,290000.0,3,2,2,Piçarreira
576,Casas,140.0,690000.0,3,3,4,Recanto das Palmeiras
577,Apartamentos,127.0,1200000.0,3,3,2,Horto
578,Casas,225.0,500000.0,3,2,4,São Cristóvão
579,Apartamentos,76.0,450000.0,3,3,2,São Cristóvão
580,Apartamentos,75.0,370000.0,3,3,2,São João
581,Casas,350.0,550000.0,3,4,4,Campestre
582,Apartamentos,125.0,650000.0,3,3,2,Ilhotas
583,Apartamentos,50.0,150000.0,2,1,1,Itararé
584,Apartamentos,62.0,561511.0,1,1,2,Centro
585,Apartamentos,79.0,750000.0,3,1,2,Jóquei
586,Apartamentos,98.0,310000.0,3,3,2,Morada do Sol
587,Apartamentos,75.0,480000.0,3,3,1,Fátima
588,Casas,200.0,650000.0,3,2,3,Morada do Sol
589,Apartamentos,190.0,850000.0,3,4,2,Ininga
590,Casas,270.0,1100000.0,4,5,5,Morros
591,Casas,76.0,306200.0,3,3,2,Morros
592,Apartamentos,70.0,380000.0,3,3,1,Ininga
593,Apartamentos,77.0,330000.0,3,2,1,Horto
595,Apartamentos,46.0,140000.0,2,1,1,Uruguai
596,Casas,202.0,2000000.0,3,4,4,Gurupi
597,Casas,250.0,800000.0,3,4,5,Ininga
598,Apartamentos,72.0,390000.0,3,2,2,Recanto das Palmeiras
599,Apartamentos,65.0,175000.0,1,1,1,Piçarreira
600,Casas,150.0,559000.0,3,1,2,Santa Isabel
601,Casas,198.0,495000.0,3,3,4,Morros
602,Apartamentos,244.0,2000000.0,4,5,3,São Cristóvão
603,Apartamentos,76.0,387000.0,2,1,2,Morros
604,Apartamentos,57.0,347000.0,2,1,1,Noivos
605,Apartamentos,77.0,345000.0,3,3,1,Morada do Sol
606,Apartamentos,118.0,750000.0,3,1,2,Jóquei
607,Apartamentos,66.0,354800.0,3,2,2,Ilhotas
608,Casas,300.0,600000.0,3,4,3,Santa Isabel
609,Apartamentos,104.0,290000.0,3,3,1,Morada do Sol
610,Casas,88.0,225000.0,3,2,2,Santa Rosa
611,Casas,260.0,850000.0,3,3,2,Ininga
612,Apartamentos,64.0,400000.0,3,3,2,Cristo Rei
613,Casas,400.0,1000000.0,5,4,5,Ininga
614,Casas,176.0,495000.0,3,3,4,Morros
615,Casas,177.0,1250000.0,3,3,2,Morros
616,Apartamentos,190.0,760000.0,2,3,2,Fátima
617,Apartamentos,60.0,155000.0,2,2,1,Centro
618,Apartamentos,60.0,300000.0,2,2,1,Morros
619,Casas,120.0,315000.0,4,4,2,Mocambinho
620,Apartamentos,210.0,1100000.0,3,4,4,Fátima
621,Casas,200.0,140000.0,2,1,2,São Sebastião
622,Apartamentos,105.0,750000.0,3,2,2,Fátima
623,Casas,113.0,305000.0,3,2,2,Piçarreira
624,Apartamentos,60.0,230000.0,2,2,1,Campestre
625,Apartamentos,59.0,226000.0,3,2,1,Vale Quem Tem
626,Apartamentos,62.0,315000.0,3,2,2,Piçarreira
627,Casas,130.0,330000.0,3,2,2,Porto do Centro
628,Apartamentos,141.0,1174400.0,3,4,3,São Cristóvão
629,Apartamentos,47.0,140000.0,2,1,1,Vale do Gavião
630,Apartamentos,73.0,270000.0,3,1,1,Cristo Rei
631,Casas,160.0,160000.0,3,2,1,Vale Quem Tem
632,Casas,99.0,550000.0,3,1,5,São Pedro
633,Apartamentos,50.0,135000.0,2,1,1,Vale do Gavião
634,Apartamentos,227.0,2000000.0,4,4,4,Fátima
635,Apartamentos,86.0,564990.0,3,4,2,Fátima
636,Apartamentos,127.0,650000.0,3,3,2,Fátima
637,Apartamentos,91.0,670000.0,3,2,2,Morada do Sol
638,Casas,110.0,200000.0,3,1,2,Piçarreira
639,Casas,196.0,570000.0,5,4,4,Santa Isabel
640,Apartamentos,48.0,140000.0,2,1,1,Tabajaras
641,Casas,130.0,330000.0,3,3,2,Porto do Centro
642,Casas,200.0,1000000.0,3,3,5,Morada do Sol
643,Casas,149.0,390000.0,3,1,2,Primavera
644,Casas,58.0,260000.0,2,1,2,Lourival Parente
645,Apartamentos,100.0,299000.0,3,1,1,Cabral
646,Apartamentos,141.0,1154000.0,3,4,3,São Cristóvão
647,Casas,120.0,620000.0,4,4,2,Gurupi
648,Casas,70.0,350000.0,3,2,2,Gurupi
649,Casas,90.0,330000.0,2,1,2,Vale Quem Tem
650,Apartamentos,90.0,468100.0,3,1,2,São Cristóvão
651,Apartamentos,69.0,326000.0,3,1,2,Morros
652,Casas,243.0,780000.0,4,4,5,Noivos
653,Apartamentos,108.0,790000.0,3,4,2,Fátima
654,Apartamentos,78.0,265000.0,3,3,1,Campestre
655,Apartamentos,70.0,380000.0,3,2,1,Santa Isabel
657,Casas,150.0,1000000.0,3,2,3,Morada do Sol
658,Apartamentos,180.0,2300000.0,4,5,3,São Cristóvão
659,Apartamentos,80.0,700000.0,3,2,2,Ininga
660,Casas,243.0,750000.0,4,5,4,Santa Isabel
661,Apartamentos,47.0,165000.0,2,1,1,Morada do Sol
662,Casas,113.0,390000.0,3,2,3,Piçarreira
663,Casas,117.0,250000.0,3,1,1,Centro
664,Casas,99.0,180000.0,3,1,1,Vale Quem Tem
665,Apartamentos,60.0,150000.0,3,1,1,Santa Isabel
666,Casas,253.0,650000.0,5,1,2,Gurupi
667,Apartamentos,159.0,1300000.0,3,4,3,Jóquei
668,Casas,280.0,550000.0,3,3,2,Campestre
670,Casas,156.0,280000.0,4,2,1,Memorare
671,Casas,440.0,1300000.0,4,5,4,Socopo
672,Apartamentos,130.0,770000.0,3,2,2,Fátima
673,Apartamentos,107.0,550000.0,3,2,2,Ininga
674,Casas,100.0,444900.0,3,3,2,Porto do Centro
675,Apartamentos,42.0,185000.0,2,1,2,Morada do Sol
676,Casas,780.0,1000000.0,5,4,2,Recanto das Palmeiras
677,Apartamentos,145.0,756000.0,3,4,2,Recanto das Palmeiras
678,Apartamentos,86.0,562990.0,3,3,2,Jóquei
679,Apartamentos,75.0,290000.0,3,2,1,Piçarreira
680,Apartamentos,65.0,230000.0,3,2,1,Recanto das Palmeiras
681,Apartamentos,21.0,248000.0,2,1,0,São Cristóvão
682,Casas,296.0,950000.0,3,3,3,Morada do Sol
683,Casas,333.0,1500000.0,4,5,5,Gurupi
684,Casas,100.0,449900.0,3,3,2,Morros
685,Apartamentos,303.0,2700000.0,5,5,4,Fátima
686,Apartamentos,55.0,160000.0,2,2,1,Gurupi
687,Casas,192.0,650000.0,3,3,2,Ininga
688,Apartamentos,93.0,580000.0,3,3,2,Jóquei
689,Apartamentos,49.0,160000.0,2,1,1,Piçarra
690,Apartamentos,60.0,220000.0,2,2,1,Cristo Rei
691,Apartamentos,106.0,890000.0,3,3,2,Horto
692,Casas,140.0,690000.0,4,5,2,Zoobotânico
693,Apartamentos,94.0,540000.0,3,3,2,Monte Castelo
695,Apartamentos,53.0,300000.0,2,2,1,São Cristóvão
696,Apartamentos,55.0,230000.0,2,2,1,Gurupi
697,Apartamentos,103.0,490000.0,3,2,2,Noivos
698,Apartamentos,76.0,490000.0,3,2,2,Monte Castelo
699,Apartamentos,74.0,220000.0,3,2,1,Monte Castelo
700,Apartamentos,62.0,329500.0,3,1,1,Nossa Senhora das Graças
701,Apartamentos,94.0,250000.0,3,3,1,Piçarra
702,Casas,180.0,750000.0,4,4,5,São Cristóvão
703,Casas,311.0,700000.0,4,4,2,Gurupi
704,Casas,110.0,280000.0,3,2,3,Centro
705,Apartamentos,50.0,245000.0,2,2,1,Uruguai
706,Apartamentos,130.0,1115066.0,3,3,2,Jóquei
707,Casas,76.0,274600.0,3,3,2,Morros
708,Apartamentos,78.0,534300.0,3,3,2,Fátima
709,Casas,200.0,550000.0,4,3,3,João XXIII
710,Casas,600.0,2200000.0,5,5,5,Jóquei
711,Apartamentos,67.0,343902.0,3,2,1,Primavera
712,Casas,150.0,350000.0,3,2,2,Novo Horizonte
713,Apartamentos,66.0,315000.0,3,1,1,Gurupi
715,Apartamentos,100.0,260000.0,4,3,2,Campestre
716,Apartamentos,49.0,125000.0,2,2,1,Colorado
837,Casas,320.0,1100000.0,4,4,2,Mocambinho
838,Casas,180.0,1050000.0,4,4,2,Horto
839,Casas,384.0,380000.0,4,4,3,Santa Isabel
840,Casas,250.0,1650000.0,4,3,2,Uruguai
841,Casas,245.0,2100000.0,4,4,2,Uruguai
843,Casas,600.0,2980000.0,5,5,4,Uruguai
844,Casas,137.0,460000.0,3,2,2,Gurupi
845,Apartamentos,74.0,470000.0,3,2,1,Santa Isabel
846,Casas,137.0,860000.0,4,5,3,Morros
847,Casas,600.0,2980000.0,5,5,4,Uruguai
848,Apartamentos,86.0,562990.0,3,1,2,Fátima
849,Apartamentos,284.0,1300000.0,5,5,5,Recanto das Palmeiras
850,Casas,358.0,2980000.0,5,5,4,Novo Uruguai
851,Casas,322.0,1299000.0,4,4,5,Ininga
852,Casas,220.0,280000.0,4,3,2,Santa Cruz
853,Casas,137.0,860000.0,4,5,3,Morros
854,Casas,322.0,1299000.0,4,4,5,Ininga
855,Casas,226.0,750000.0,4,5,5,Fátima
856,Casas,200.0,870000.0,4,5,5,Ininga
857,Apartamentos,59.0,350000.0,2,2,2,Recanto das Palmeiras
858,Apartamentos,97.0,210000.0,2,2,1,São Sebastião
859,Apartamentos,57.0,320000.0,2,2,1,Noivos
860,Apartamentos,74.0,220000.0,3,2,1,Cristo Rei
861,Apartamentos,52.0,175000.0,2,2,1,Uruguai
862,Casas,396.0,450000.0,3,1,4,Piçarreira
863,Casas,246.0,1500000.0,3,4,4,Uruguai
864,Apartamentos,72.0,375000.0,3,1,2,Morros
865,Casas,125.0,395000.0,3,2,2,Gurupi
866,Apartamentos,48.0,160000.0,2,1,1,Cidade Jardim
867,Apartamentos,55.0,220000.0,2,1,1,São Cristóvão
868,Casas,200.0,930000.0,3,1,5,Fátima
871,Apartamentos,90.0,230000.0,3,3,1,Piçarra
872,Casas,246.0,1500000.0,3,4,4,Uruguai
873,Apartamentos,55.0,210000.0,2,1,1,Piçarreira
874,Apartamentos,59.0,332844.0,3,2,2,Jóquei
875,Casas,48.0,135000.0,2,1,0,Tabajaras
876,Casas,160.0,200000.0,3,1,1,Porto do Centro
878,Casas,287.0,850000.0,5,5,4,São João
879,Casas,70.0,190000.0,3,1,1,Cidade Jardim
880,Casas,287.0,850000.0,5,5,4,São João
881,Casas,100.0,437800.0,3,1,2,Gurupi
882,Apartamentos,59.0,230000.0,3,1,2,Santa Lia
883,Casas,210.0,1450000.0,4,4,2,Uruguai
884,Apartamentos,86.0,225000.0,3,2,1,Morada do Sol
885,Apartamentos,42.0,130000.0,2,1,1,Santa Lia
886,Casas,75.0,150000.0,3,1,2,Vale Quem Tem
887,Casas,95.0,250000.0,3,3,2,Vale Quem Tem
888,Apartamentos,70.0,300000.0,2,2,1,Ininga
889,Apartamentos,49.0,140000.0,2,2,1,Vale do Gavião
890,Apartamentos,92.0,444900.0,3,4,2,Morros
891,Apartamentos,56.0,275181.0,2,2,2,Uruguai
892,Apartamentos,38.0,175000.0,2,1,1,Gurupi
893,Casas,236.0,1490000.0,4,1,2,Uruguai
894,Casas,65.0,190000.0,2,2,3,Centro
895,Casas,178.0,495000.0,3,4,4,Morros
896,Casas,100.0,385000.0,3,2,1,Primavera
897,Apartamentos,59.0,165000.0,2,1,1,Parque Ideal
898,Apartamentos,70.0,200000.0,3,2,1,Cristo Rei
899,Apartamentos,101.0,350000.0,3,2,1,Jóquei
900,Apartamentos,72.0,390000.0,3,2,2,Horto
902,Apartamentos,72.0,350000.0,3,3,1,Horto
903,Apartamentos,67.0,300000.0,2,1,1,Santa Isabel
904,Apartamentos,49.0,138000.0,2,1,1,Itararé
905,Apartamentos,77.0,390000.0,2,2,2,Noivos
906,Casas,200.0,850000.0,4,4,2,Santa Isabel
907,Casas,182.0,1300000.0,3,3,4,Uruguai
908,Apartamentos,160.0,1600000.0,3,4,3,Jóquei
909,Apartamentos,160.0,1600000.0,3,4,2,Jóquei
910,Apartamentos,76.0,630000.0,3,3,2,Horto
911,Casas,200.0,640000.0,3,2,3,Santa Isabel
912,Casas,200.0,850000.0,4,4,2,Santa Isabel
913,Apartamentos,190.0,850000.0,3,3,2,Horto
914,Casas,200.0,650000.0,4,2,3,Morada do Sol
915,Apartamentos,280.0,1250000.0,4,4,5,Ininga
916,Apartamentos,190.0,850000.0,3,1,2,Ininga
917,Casas,280.0,1250000.0,4,4,5,Ininga
918,Casas,180.0,750000.0,4,4,2,Morros
921,Casas,182.0,980000.0,4,4,2,Horto
922,Apartamentos,60.0,210000.0,2,1,1,Cristo Rei
923,Casas,240.0,750000.0,4,4,5,Morada do Sol
924,Casas,182.0,980000.0,4,4,2,Horto
925,Casas,240.0,750000.0,4,4,5,Morada do Sol
926,Casas,520.0,2400000.0,3,3,4,Uruguai
927,Casas,235.0,1500000.0,4,4,2,Uruguai
928,Apartamentos,145.0,1190000.0,4,3,3,Jóquei
930,Casas,175.0,890000.0,4,1,4,Gurupi
931,Apartamentos,74.0,470000.0,3,2,1,Santa Isabel
932,Casas,500.0,550000.0,4,1,5,Primavera
933,Casas,105.0,500000.0,3,3,2,Parque São João
934,Apartamentos,126.0,750000.0,3,3,2,Jóquei
935,Apartamentos,62.0,350000.0,2,2,1,Fátima
936,Apartamentos,130.0,1359199.0,4,5,2,Fátima
937,Apartamentos,210.0,1000000.0,3,4,4,Fátima
938,Apartamentos,77.0,280000.0,3,3,1,Horto
939,Casas,80.0,170000.0,2,2,3,João XXIII
940,Apartamentos,51.0,220000.0,2,1,1,Aeroporto
941,Casas,480.0,600000.0,5,5,0,Bela Vista
942,Casas,200.0,375000.0,4,1,3,Alto Alegre
943,Casas,300.0,1100000.0,3,3,2,Ininga
944,Apartamentos,42.0,145000.0,2,1,1,Morada do Sol
945,Apartamentos,80.0,720000.0,3,2,2,Ininga
946,Apartamentos,78.0,468000.0,3,2,2,São Cristóvão
947,Apartamentos,80.0,240000.0,3,2,1,Santa Isabel
948,Casas,261.0,2300000.0,4,4,2,Uruguai
949,Casas,165.0,1150000.0,4,4,2,Horto
950,Apartamentos,51.0,120000.0,2,2,1,Colorado
951,Apartamentos,69.0,280000.0,3,2,2,Morros
952,Apartamentos,48.0,170000.0,2,1,1,Uruguai
953,Apartamentos,300.0,2300000.0,5,5,4,Cabral
954,Casas,159.0,330000.0,3,2,2,Parque Piauí
955,Casas,100.0,600000.0,2,2,2,Planalto
957,Apartamentos,97.0,270000.0,3,2,1,Ilhotas
958,Apartamentos,304.0,2507000.0,5,5,4,Jóquei
959,Apartamentos,62.0,285000.0,3,1,1,Gurupi
960,Apartamentos,45.0,135000.0,2,1,1,Livramento
961,Apartamentos,46.0,155000.0,2,1,1,Morada do Sol
962,Apartamentos,83.0,250000.0,3,3,1,São Cristóvão
964,Apartamentos,69.0,295000.0,3,2,1,Ininga
965,Apartamentos,80.0,700000.0,2,3,2,Fátima
966,Apartamentos,81.0,440000.0,3,3,2,Horto
967,Apartamentos,58.0,254224.0,3,1,1,Zoobotânico
969,Apartamentos,74.0,290000.0,3,2,2,Morros
970,Apartamentos,90.0,458000.0,3,3,2,São Cristóvão
971,Casas,240.0,1950000.0,4,3,2,Tabajaras
972,Casas,110.0,280000.0,3,2,3,Centro
973,Apartamentos,50.0,245000.0,2,2,1,Uruguai
974,Apartamentos,130.0,1115066.0,3,3,2,Jóquei
975,Casas,76.0,274600.0,3,3,2,Morros
976,Apartamentos,78.0,534300.0,3,3,2,Fátima
977,Casas,200.0,550000.0,4,3,3,João XXIII
978,Apartamentos,50.0,240000.0,2,2,1,Uruguai
979,Casas,107.0,589325.0,3,4,3,Morros
980,Apartamentos,60.0,300000.0,2,1,1,Santa Isabel
981,Apartamentos,78.0,460000.0,3,3,2,Horto
982,Apartamentos,67.0,310000.0,3,1,1,Gurupi
983,Apartamentos,62.0,250000.0,3,1,1,Uruguai
984,Casas,105.0,400000.0,3,2,2,Gurupi
985,Apartamentos,59.0,185000.0,3,1,1,Tancredo Neves
986,Casas,233.0,720000.0,3,3,4,Ilhotas
987,Apartamentos,67.0,280000.0,3,1,1,Noivos
989,Casas,151.0,750000.0,4,4,2,Gurupi
990,Casas,207.0,380000.0,4,3,2,Centro
991,Casas,316.0,2600000.0,5,5,4,Gurupi
992,Casas,140.0,800000.0,4,5,2,Zoobotânico
993,Casas,400.0,480000.0,3,2,3,Centro
994,Apartamentos,105.0,650000.0,3,3,2,Horto
995,Apartamentos,107.0,860000.0,3,3,2,Jóquei
997,Apartamentos,74.0,355000.0,3,2,1,Santa Isabel
998,Apartamentos,59.0,325000.0,2,2,2,Recanto das Palmeiras
1000,Apartamentos,130.0,1048029.0,3,3,2,Fátima
1001,Apartamentos,62.0,200000.0,3,1,1,Parque Ideal
1002,Casas,135.0,240000.0,3,2,2,Buenos Aires
1003,Apartamentos,60.0,336890.0,2,1,1,Fátima
1004,Casas,205.0,1400000.0,4,4,2,Uruguai
1005,Apartamentos,80.0,560000.0,3,2,2,Ininga
1006,Apartamentos,56.0,145000.0,3,1,1,Aeroporto
1007,Casas,179.0,649990.0,3,2,3,Morada do Sol
1008,Apartamentos,62.0,278100.0,3,3,2,Nossa Senhora das Graças
1009,Apartamentos,161.0,800000.0,3,3,2,Frei Serafim
1010,Apartamentos,228.0,1900000.0,4,4,2,Jóquei
1011,Casas,113.0,215000.0,3,2,2,Promorar
1012,Apartamentos,56.0,239477.0,2,2,1,Uruguai
1013,Apartamentos,77.0,439000.0,2,2,2,Noivos
1014,Casas,222.0,1500000.0,4,4,3,São Cristóvão
1015,Apartamentos,225.0,2479400.0,4,5,4,Ininga
1016,Casas,239.0,1700000.0,4,4,4,Tabajaras
1017,Casas,176.0,780000.0,4,4,2,Morros
1018,Casas,650.0,1750000.0,5,3,5,Centro
1019,Apartamentos,81.0,220000.0,3,2,1,Noivos
1020,Casas,280.0,1400000.0,4,4,5,Ininga
1021,Casas,215.0,450000.0,4,2,4,Acarape
1022,Apartamentos,66.0,357416.0,3,1,1,Cabral
1023,Apartamentos,78.0,200000.0,3,2,1,Tabuleta
1024,Casas,258.0,750000.0,5,5,3,Santa Isabel
1025,Casas,76.0,274600.0,3,3,2,Morros
1026,Apartamentos,62.0,230000.0,3,2,1,Parque Ideal
1027,Apartamentos,65.0,255000.0,3,2,2,São João
1028,Casas,151.0,807000.0,5,5,3,Samapi
1029,Casas,280.0,1400000.0,5,4,5,Ininga
1030,Apartamentos,70.0,300000.0,3,2,1,Gurupi
1031,Apartamentos,74.0,440000.0,3,3,1,Santa Isabel
1032,Apartamentos,119.0,600000.0,4,4,2,Fátima
1033,Apartamentos,308.0,2000000.0,5,5,4,Jóquei
1034,Apartamentos,225.0,2163000.0,4,5,4,Jóquei
1035,Apartamentos,296.0,2200000.0,4,5,3,Fátima
1036,Casas,120.0,485000.0,4,2,2,Gurupi
1037,Apartamentos,190.0,850000.0,3,3,2,Ininga
1038,Casas,92.0,278000.0,3,2,2,Bela Vista
1039,Casas,464.0,950000.0,4,2,5,Jóquei
1041,Apartamentos,107.0,931164.0,3,4,2,Jóquei
1042,Casas,99.0,190000.0,3,2,2,Comprida
1044,Apartamentos,141.0,1174400.0,3,3,3,São Cristóvão
1045,Apartamentos,62.0,190000.0,2,2,1,Cristo Rei
1046,Apartamentos,190.0,850000.0,3,1,2,Ininga
1047,Apartamentos,92.0,740000.0,3,1,2,Morada do Sol
1048,Apartamentos,65.0,410000.0,1,2,1,Fátima
1049,Casas,250.0,1750000.0,4,4,3,Uruguai
1050,Casas,129.0,450000.0,3,2,2,Aeroporto
1051,Casas,200.0,190000.0,3,2,2,Vale Quem Tem
1052,Casas,148.0,900000.0,4,4,4,Ininga
1053,Apartamentos,60.0,327000.0,3,2,1,Recanto das Palmeiras
1055,Apartamentos,76.0,370000.0,3,2,2,Morros
1056,Casas,103.0,290000.0,3,2,4,Renascença
1057,Apartamentos,130.0,1000000.0,3,3,2,Fátima
1058,Apartamentos,200.0,1500000.0,3,3,2,Jóquei
1059,Apartamentos,60.0,235000.0,3,3,1,Santa Isabel
1060,Apartamentos,118.0,590990.0,3,1,3,Recanto das Palmeiras
1061,Apartamentos,55.0,240000.0,2,1,1,Aeroporto
1062,Apartamentos,82.0,300000.0,3,3,1,Noivos
1063,Apartamentos,59.0,230000.0,2,2,1,Uruguai
1064,Apartamentos,190.0,850000.0,3,5,2,Ininga
1066,Casas,300.0,900000.0,4,5,3,São Cristóvão
1067,Casas,128.0,423500.0,3,2,2,Centro
1068,Casas,246.0,1500000.0,4,5,2,Uruguai
1069,Apartamentos,63.0,347271.0,3,3,1,Ilhotas
1070,Casas,162.0,850000.0,4,4,5,Santa Isabel
1071,Casas,104.0,530000.0,4,5,2,Pedra Mole
1074,Apartamentos,106.0,750000.0,3,4,2,Noivos
1076,Apartamentos,51.0,211700.0,2,2,1,Uruguai
1077,Apartamentos,58.0,130000.0,2,1,1,Campestre
1078,Apartamentos,224.0,1650000.0,4,4,3,Jóquei
1079,Casas,120.0,620000.0,4,4,2,Gurupi
1080,Apartamentos,67.0,185000.0,2,2,1,São Sebastião
1081,Apartamentos,83.0,630000.0,2,3,2,São Cristóvão
1082,Apartamentos,68.0,255000.0,3,2,1,São João
1083,Casas,180.0,900000.0,4,1,2,Gurupi
1084,Casas,89.0,250000.0,3,2,2,São Sebastião
1085,Apartamentos,65.0,250000.0,3,1,2,Uruguai
1086,Casas,173.0,330000.0,5,2,2,Três Andares
1088,Apartamentos,45.0,188554.0,2,1,1,Porto do Centro
1089,Apartamentos,50.0,150000.0,2,1,1,Uruguai
1090,Casas,88.0,115000.0,3,2,0,Angelim
1091,Casas,209.0,570000.0,4,5,4,Satélite
1092,Apartamentos,86.0,562990.0,3,4,2,Jóquei
1093,Casas,300.0,1300000.0,4,5,5,Gurupi
1094,Apartamentos,102.0,240000.0,4,3,1,Campestre
1095,Casas,231.0,600000.0,3,4,2,Gurupi
1096,Casas,180.0,1100000.0,3,2,2,Marquês
1097,Casas,139.0,650000.0,4,2,2,Morada do Sol
1098,Casas,77.0,670000.0,2,1,2,Lourival Parente
1099,Casas,100.0,180000.0,2,1,3,Mocambinho
1100,Casas,200.0,140000.0,2,1,1,Vale Quem Tem
1101,Casas,156.0,600000.0,4,2,2,São Cristóvão
1102,Casas,90.0,500000.0,3,1,2,Piçarra
1103,Casas,133.0,300000.0,3,2,2,Marquês
1104,Casas,67.0,510000.0,2,1,1,Piçarreira
1105,Apartamentos,64.0,230000.0,2,1,1,Uruguai
1106,Apartamentos,71.0,260000.0,3,1,1,Noivos
1107,Apartamentos,77.0,280000.0,3,1,1,Campestre
1108,Apartamentos,45.0,135000.0,2,1,1,Vale do Gavião
1109,Apartamentos,76.0,370000.0,3,3,2,Jóquei
1110,Apartamentos,92.0,220000.0,2,1,2,Centro
1111,Apartamentos,100.0,550000.0,4,1,2,Centro
1112,Casas,300.0,170000.0,2,1,1,Vale Quem Tem
1113,Casas,390.0,850000.0,3,1,3,Ininga
1114,Casas,210.0,122900.0,2,1,1,Angelim
1115,Apartamentos,70.0,280000.0,2,1,1,Jóquei
1116,Casas,322.0,200000.0,1,1,3,Buenos Aires
1117,Apartamentos,68.0,320000.0,3,1,1,Planalto
1118,Apartamentos,55.0,300000.0,1,1,1,Jóquei
1119,Casas,600.0,750000.0,4,2,2,Ininga
1120,Apartamentos,81.0,310000.0,2,2,2,Jóquei
